pattern,frequency
['US'],0.4195320494571866
['France'],0.17003023751452248
['Italy'],0.15041047618314854
['Spain'],0.05114987189449954
['88'],0.13239107185449062
['87'],0.13028290926437436
['90'],0.11856491063391064
['86'],0.09694470304914173
['89'],0.09406713805387355
['91'],0.08739641920120643
['92'],0.07396265320725393
['85'],0.07332404921097783
['20.0'],0.057835978795269714
['15.0'],0.05079594678812966
['California'],0.2790776403967039
['Washington'],0.06646867378107424
['Roger Voss'],0.19866739503427688
['Kerin O¡¯Keefe'],0.1453016442129398
['Virginie Boone'],0.1423394449531049
['Michael Schachner'],0.11875726123519863
['Matt Kettmann'],0.08411107093120773
['Paul Gregutt'],0.07568611459479423
['Jim Gordon'],0.05186541613129082
['Pinot Noir'],0.10211508721176263
['Chardonnay'],0.09042786467750498
['Cabernet Sauvignon'],0.07287779581598972
['Red Blend'],0.06883073916489063
['Bordeaux-style Red Blend'],0.05320417631625517
"['California', 'US']",0.27903917027644626
"['US', 'Washington']",0.06652253194943487
"['US', 'Virginie Boone']",0.1420855421594048
"['Matt Kettmann', 'US']",0.08399566057043495
"['Paul Gregutt', 'US']",0.07360103407683252
"['Jim Gordon', 'US']",0.05171922967431196
"['Pinot Noir', 'US']",0.07630933054296728
"['Chardonnay', 'US']",0.05237322171869109
"['Cabernet Sauvignon', 'US']",0.0563048680090174
"['France', 'Roger Voss']",0.1445322418077879
"['Italy', 'Kerin O¡¯Keefe']",0.1452554800686307
"['Michael Schachner', 'Spain']",0.05124989420716929
"['California', 'Virginie Boone']",0.14133922182640743
"['California', 'Matt Kettmann']",0.08358018327165291
"['California', 'Jim Gordon']",0.05135761054389056
"['California', 'Pinot Noir']",0.053288810580821876
"['California', 'US', 'Virginie Boone']",0.14133922182640743
"['California', 'Matt Kettmann', 'US']",0.08357248924760138
"['California', 'Jim Gordon', 'US']",0.05134222249578752
"['California', 'Pinot Noir', 'US']",0.05310415400358542
